Responder Type,Year,Survey Responder,Survey question,Response option,Percent,N
Employer Firms,2023,All employer firms,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),51%,2171
Employer Firms,2020,All employer firms,Current financial condition,Poor or fair,58%,9664
Employer Firms,2021,All employer firms,Current financial condition,Poor or fair,59%,10907
Employer Firms,2022,All employer firms,Current financial condition,Poor or fair,57%,7864
Employer Firms,2023,All employer firms,Current financial condition,Poor or fair,55%,6130
Employer Firms,2016,All employer firms,"Employment change, prior 12 months",Increased,35%,9706
Employer Firms,2017,All employer firms,"Employment change, prior 12 months",Increased,35%,7684
Employer Firms,2018,All employer firms,"Employment change, prior 12 months",Increased,37%,6176
Employer Firms,2019,All employer firms,"Employment change, prior 12 months",Increased,36%,4810
Employer Firms,2020,All employer firms,"Employment change, prior 12 months",Increased,12%,9392
Employer Firms,2021,All employer firms,"Employment change, prior 12 months",Increased,24%,10571
Employer Firms,2022,All employer firms,"Employment change, prior 12 months",Increased,29%,7538
Employer Firms,2023,All employer firms,"Employment change, prior 12 months",Increased,29%,5995
Employer Firms,2016,All employer firms,"Employment expectations, next 12 months",Will increase,45%,9765
Employer Firms,2017,All employer firms,"Employment expectations, next 12 months",Will increase,48%,7736
Employer Firms,2018,All employer firms,"Employment expectations, next 12 months",Will increase,44%,6450
Employer Firms,2019,All employer firms,"Employment expectations, next 12 months",Will increase,44%,5024
Employer Firms,2020,All employer firms,"Employment expectations, next 12 months",Will increase,32%,9412
Employer Firms,2021,All employer firms,"Employment expectations, next 12 months",Will increase,41%,10635
Employer Firms,2022,All employer firms,"Employment expectations, next 12 months",Will increase,39%,7599
Employer Firms,2023,All employer firms,"Employment expectations, next 12 months",Will increase,39%,6033
Employer Firms,2016,All employer firms,"Profitability, end of prior year",Operating at a profit,55%,9633
Employer Firms,2017,All employer firms,"Profitability, end of prior year",Operating at a profit,57%,7830
Employer Firms,2018,All employer firms,"Profitability, end of prior year",Operating at a profit,57%,6280
Employer Firms,2019,All employer firms,"Profitability, end of prior year",Operating at a profit,57%,4942
Employer Firms,2020,All employer firms,"Profitability, end of prior year",Operating at a profit,65%,9225
Employer Firms,2021,All employer firms,"Profitability, end of prior year",Operating at a profit,35%,10213
Employer Firms,2022,All employer firms,"Profitability, end of prior year",Operating at a profit,45%,7503
Employer Firms,2023,All employer firms,"Profitability, end of prior year",Operating at a profit,47%,5913
Employer Firms,2016,All employer firms,"Revenue change, prior 12 months",Increased,51%,9758
Employer Firms,2017,All employer firms,"Revenue change, prior 12 months",Increased,53%,7983
Employer Firms,2018,All employer firms,"Revenue change, prior 12 months",Increased,57%,6438
Employer Firms,2019,All employer firms,"Revenue change, prior 12 months",Increased,56%,4983
Employer Firms,2020,All employer firms,"Revenue change, prior 12 months",Increased,14%,9561
Employer Firms,2021,All employer firms,"Revenue change, prior 12 months",Increased,38%,10617
Employer Firms,2022,All employer firms,"Revenue change, prior 12 months",Increased,44%,7589
Employer Firms,2023,All employer firms,"Revenue change, prior 12 months",Increased,43%,5856
Employer Firms,2016,All employer firms,"Revenue expectations, next 12 months",Will increase,69%,9795
Employer Firms,2017,All employer firms,"Revenue expectations, next 12 months",Will increase,72%,8073
Employer Firms,2018,All employer firms,"Revenue expectations, next 12 months",Will increase,72%,6480
Employer Firms,2019,All employer firms,"Revenue expectations, next 12 months",Will increase,69%,4967
Employer Firms,2020,All employer firms,"Revenue expectations, next 12 months",Will increase,41%,9616
Employer Firms,2021,All employer firms,"Revenue expectations, next 12 months",Will increase,59%,10692
Employer Firms,2022,All employer firms,"Revenue expectations, next 12 months",Will increase,56%,7674
Employer Firms,2023,All employer firms,"Revenue expectations, next 12 months",Will increase,57%,5945
Employer Firms,2016,All employer firms,Share that experienced a financial challenge,Experienced a financial challenge,59%,9710
Employer Firms,2017,All employer firms,Share that experienced a financial challenge,Experienced a financial challenge,64%,8097
Employer Firms,2018,All employer firms,Share that experienced a financial challenge,Experienced a financial challenge,64%,6490
Employer Firms,2019,All employer firms,Share that experienced a financial challenge,Experienced a financial challenge,66%,5100
Employer Firms,2020,All employer firms,Share that experienced a financial challenge,Experienced a financial challenge,81%,9645
Employer Firms,2021,All employer firms,Share that experienced a financial challenge,Experienced a financial challenge,85%,10851
Employer Firms,2022,All employer firms,Share that experienced a financial challenge,Experienced a financial challenge,94%,7837
Employer Firms,2023,All employer firms,Share that experienced a financial challenge,Experienced a financial challenge,93%,6103
Employer Firms,2016,All employer firms,Share with outstanding debt,Have outstanding debt,69%,9323
Employer Firms,2017,All employer firms,Share with outstanding debt,Have outstanding debt,67%,7958
Employer Firms,2018,All employer firms,Share with outstanding debt,Have outstanding debt,70%,6451
Employer Firms,2019,All employer firms,Share with outstanding debt,Have outstanding debt,71%,5063
Employer Firms,2020,All employer firms,Share with outstanding debt,Have outstanding debt,79%,9443
Employer Firms,2021,All employer firms,Share with outstanding debt,Have outstanding debt,74%,10679
Employer Firms,2022,All employer firms,Share with outstanding debt,Have outstanding debt,72%,7708
Employer Firms,2023,All employer firms,Share with outstanding debt,Have outstanding debt,72%,6059
"Race, Ethnicity of Owner(s)",2016,Asian,Actions taken in response to financial challenges,Used personal funds,78%,199
"Race, Ethnicity of Owner(s)",2016,Black or African American,Actions taken in response to financial challenges,Used personal funds,86%,506
"Race, Ethnicity of Owner(s)",2016,Hispanic,Actions taken in response to financial challenges,Used personal funds,71%,252
"Race, Ethnicity of Owner(s)",2016,White,Actions taken in response to financial challenges,Used personal funds,75%,2965
"Race, Ethnicity of Owner(s)",2017,American Indian or Alaska Native,Actions taken in response to financial challenges,Used personal funds,72%,67
"Race, Ethnicity of Owner(s)",2017,Asian,Actions taken in response to financial challenges,Used personal funds,70%,181
"Race, Ethnicity of Owner(s)",2017,Black or African American,Actions taken in response to financial challenges,Used personal funds,76%,512
"Race, Ethnicity of Owner(s)",2017,Hispanic,Actions taken in response to financial challenges,Used personal funds,79%,362
"Race, Ethnicity of Owner(s)",2017,White,Actions taken in response to financial challenges,Used personal funds,65%,3834
"Race, Ethnicity of Owner(s)",2018,American Indian or Alaska Native,Actions taken in response to financial challenges,Used personal funds,82%,54
"Race, Ethnicity of Owner(s)",2018,Asian,Actions taken in response to financial challenges,Used personal funds,67%,171
"Race, Ethnicity of Owner(s)",2018,Black or African American,Actions taken in response to financial challenges,Used personal funds,80%,435
"Race, Ethnicity of Owner(s)",2018,Hispanic,Actions taken in response to financial challenges,Used personal funds,66%,331
"Race, Ethnicity of Owner(s)",2018,White,Actions taken in response to financial challenges,Used personal funds,67%,3076
"Race, Ethnicity of Owner(s)",2020,American Indian or Alaska Native,Actions taken in response to financial challenges,Used personal funds,79%,91
"Race, Ethnicity of Owner(s)",2020,Asian,Actions taken in response to financial challenges,Used personal funds,65%,587
"Race, Ethnicity of Owner(s)",2020,Black or African American,Actions taken in response to financial challenges,Used personal funds,76%,1079
"Race, Ethnicity of Owner(s)",2020,Hispanic,Actions taken in response to financial challenges,Used personal funds,65%,736
"Race, Ethnicity of Owner(s)",2020,White,Actions taken in response to financial challenges,Used personal funds,61%,5404
"Race, Ethnicity of Owner(s)",2021,American Indian or Alaska Native,Actions taken in response to financial challenges,Used personal funds,75%,119
"Race, Ethnicity of Owner(s)",2021,Asian,Actions taken in response to financial challenges,Used personal funds,59%,927
"Race, Ethnicity of Owner(s)",2021,Black or African American,Actions taken in response to financial challenges,Used personal funds,73%,1662
"Race, Ethnicity of Owner(s)",2021,Hispanic,Actions taken in response to financial challenges,Used personal funds,64%,1028
"Race, Ethnicity of Owner(s)",2021,White,Actions taken in response to financial challenges,Used personal funds,60%,5801
"Race, Ethnicity of Owner(s)",2022,American Indian or Alaska Native,Actions taken in response to financial challenges,Used personal funds,61%,128
"Race, Ethnicity of Owner(s)",2022,Asian,Actions taken in response to financial challenges,Used personal funds,56%,545
"Race, Ethnicity of Owner(s)",2022,Black or African American,Actions taken in response to financial challenges,Used personal funds,79%,1415
"Race, Ethnicity of Owner(s)",2022,Hispanic,Actions taken in response to financial challenges,Used personal funds,70%,882
"Race, Ethnicity of Owner(s)",2022,White,Actions taken in response to financial challenges,Used personal funds,51%,4523
"Race, Ethnicity of Owner(s)",2023,American Indian or Alaska Native,Actions taken in response to financial challenges,Used personal funds,78%,71
"Race, Ethnicity of Owner(s)",2023,Asian,Actions taken in response to financial challenges,Used personal funds,67%,357
"Race, Ethnicity of Owner(s)",2023,Black or African American,Actions taken in response to financial challenges,Used personal funds,74%,884
"Race, Ethnicity of Owner(s)",2023,Hispanic,Actions taken in response to financial challenges,Used personal funds,62%,633
"Race, Ethnicity of Owner(s)",2023,White,Actions taken in response to financial challenges,Used personal funds,50%,3832
"Race, Ethnicity of Owner(s)",2016,American Indian or Alaska Native,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",40%,104
"Race, Ethnicity of Owner(s)",2016,Asian,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",40%,421
"Race, Ethnicity of Owner(s)",2016,Black or African American,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",45%,883
"Race, Ethnicity of Owner(s)",2016,Hispanic,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",44%,512
"Race, Ethnicity of Owner(s)",2016,White,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",37%,7948
"Race, Ethnicity of Owner(s)",2017,American Indian or Alaska Native,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",39%,97
"Race, Ethnicity of Owner(s)",2017,Asian,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",34%,300
"Race, Ethnicity of Owner(s)",2017,Black or African American,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",39%,642
"Race, Ethnicity of Owner(s)",2017,Hispanic,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",38%,530
"Race, Ethnicity of Owner(s)",2017,White,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",33%,6600
"Race, Ethnicity of Owner(s)",2018,American Indian or Alaska Native,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",45%,68
"Race, Ethnicity of Owner(s)",2018,Asian,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",31%,260
"Race, Ethnicity of Owner(s)",2018,Black or African American,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",36%,558
"Race, Ethnicity of Owner(s)",2018,Hispanic,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",40%,496
"Race, Ethnicity of Owner(s)",2018,White,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",36%,5232
"Race, Ethnicity of Owner(s)",2019,American Indian or Alaska Native,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",36%,67
"Race, Ethnicity of Owner(s)",2019,Asian,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",26%,198
"Race, Ethnicity of Owner(s)",2019,Black or African American,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",47%,468
"Race, Ethnicity of Owner(s)",2019,Hispanic,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",40%,422
"Race, Ethnicity of Owner(s)",2019,White,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",38%,3999
"Race, Ethnicity of Owner(s)",2020,American Indian or Alaska Native,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",34%,104
"Race, Ethnicity of Owner(s)",2020,Asian,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",25%,645
"Race, Ethnicity of Owner(s)",2020,Black or African American,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",35%,1141
"Race, Ethnicity of Owner(s)",2020,Hispanic,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",30%,812
"Race, Ethnicity of Owner(s)",2020,White,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",29%,6705
"Race, Ethnicity of Owner(s)",2021,American Indian or Alaska Native,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",44%,127
"Race, Ethnicity of Owner(s)",2021,Asian,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",24%,931
"Race, Ethnicity of Owner(s)",2021,Black or African American,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",31%,1722
"Race, Ethnicity of Owner(s)",2021,Hispanic,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",30%,1058
"Race, Ethnicity of Owner(s)",2021,White,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",25%,6742
"Race, Ethnicity of Owner(s)",2022,American Indian or Alaska Native,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",46%,135
"Race, Ethnicity of Owner(s)",2022,Asian,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",40%,565
"Race, Ethnicity of Owner(s)",2022,Black or African American,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",48%,1466
"Race, Ethnicity of Owner(s)",2022,Hispanic,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",44%,915
"Race, Ethnicity of Owner(s)",2022,White,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",40%,4783
"Race, Ethnicity of Owner(s)",2023,American Indian or Alaska Native,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",47%,74
"Race, Ethnicity of Owner(s)",2023,Asian,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",41%,380
"Race, Ethnicity of Owner(s)",2023,Black or African American,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",51%,923
"Race, Ethnicity of Owner(s)",2023,Hispanic,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",42%,660
"Race, Ethnicity of Owner(s)",2023,White,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",35%,4094
"Race, Ethnicity of Owner(s)",2016,Asian,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),36%,173
"Race, Ethnicity of Owner(s)",2016,Black or African American,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),28%,372
"Race, Ethnicity of Owner(s)",2016,Hispanic,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),42%,219
"Race, Ethnicity of Owner(s)",2016,White,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),58%,2853
"Race, Ethnicity of Owner(s)",2017,Asian,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),49%,98
"Race, Ethnicity of Owner(s)",2017,Black or African American,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),30%,242
"Race, Ethnicity of Owner(s)",2017,Hispanic,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),41%,179
"Race, Ethnicity of Owner(s)",2017,White,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),60%,2133
"Race, Ethnicity of Owner(s)",2018,Asian,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),49%,88
"Race, Ethnicity of Owner(s)",2018,Black or African American,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),38%,204
"Race, Ethnicity of Owner(s)",2018,Hispanic,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),40%,182
"Race, Ethnicity of Owner(s)",2018,White,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),61%,1798
"Race, Ethnicity of Owner(s)",2019,Asian,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),46%,61
"Race, Ethnicity of Owner(s)",2019,Black or African American,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),34%,192
"Race, Ethnicity of Owner(s)",2019,Hispanic,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),46%,150
"Race, Ethnicity of Owner(s)",2019,White,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),66%,1405
"Race, Ethnicity of Owner(s)",2020,Asian,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),45%,154
"Race, Ethnicity of Owner(s)",2020,Black or African American,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),25%,347
"Race, Ethnicity of Owner(s)",2020,Hispanic,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),30%,226
"Race, Ethnicity of Owner(s)",2020,White,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),53%,1677
"Race, Ethnicity of Owner(s)",2021,Asian,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),34%,186
"Race, Ethnicity of Owner(s)",2021,Black or African American,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),25%,483
"Race, Ethnicity of Owner(s)",2021,Hispanic,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),27%,272
"Race, Ethnicity of Owner(s)",2021,White,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),50%,1441
"Race, Ethnicity of Owner(s)",2022,American Indian or Alaska Native,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),36%,50
"Race, Ethnicity of Owner(s)",2022,Asian,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),33%,198
"Race, Ethnicity of Owner(s)",2022,Black or African American,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),20%,651
"Race, Ethnicity of Owner(s)",2022,Hispanic,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),38%,352
"Race, Ethnicity of Owner(s)",2022,White,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),58%,1775
"Race, Ethnicity of Owner(s)",2023,Asian,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),34%,145
"Race, Ethnicity of Owner(s)",2023,Black or African American,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),32%,408
"Race, Ethnicity of Owner(s)",2023,Hispanic,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),32%,250
"Race, Ethnicity of Owner(s)",2023,White,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),56%,1336
"Race, Ethnicity of Owner(s)",2020,American Indian or Alaska Native,Current financial condition,Poor or fair,54%,106
"Race, Ethnicity of Owner(s)",2020,Asian,Current financial condition,Poor or fair,79%,663
"Race, Ethnicity of Owner(s)",2020,Black or African American,Current financial condition,Poor or fair,79%,1178
"Race, Ethnicity of Owner(s)",2020,Hispanic,Current financial condition,Poor or fair,67%,852
"Race, Ethnicity of Owner(s)",2020,White,Current financial condition,Poor or fair,55%,6865
"Race, Ethnicity of Owner(s)",2021,American Indian or Alaska Native,Current financial condition,Poor or fair,67%,132
"Race, Ethnicity of Owner(s)",2021,Asian,Current financial condition,Poor or fair,81%,982
"Race, Ethnicity of Owner(s)",2021,Black or African American,Current financial condition,Poor or fair,76%,1775
"Race, Ethnicity of Owner(s)",2021,Hispanic,Current financial condition,Poor or fair,74%,1118
"Race, Ethnicity of Owner(s)",2021,White,Current financial condition,Poor or fair,55%,6900
"Race, Ethnicity of Owner(s)",2022,American Indian or Alaska Native,Current financial condition,Poor or fair,72%,135
"Race, Ethnicity of Owner(s)",2022,Asian,Current financial condition,Poor or fair,83%,565
"Race, Ethnicity of Owner(s)",2022,Black or African American,Current financial condition,Poor or fair,74%,1466
"Race, Ethnicity of Owner(s)",2022,Hispanic,Current financial condition,Poor or fair,67%,915
"Race, Ethnicity of Owner(s)",2022,White,Current financial condition,Poor or fair,52%,4783
"Race, Ethnicity of Owner(s)",2023,American Indian or Alaska Native,Current financial condition,Poor or fair,73%,74
"Race, Ethnicity of Owner(s)",2023,Asian,Current financial condition,Poor or fair,74%,379
"Race, Ethnicity of Owner(s)",2023,Black or African American,Current financial condition,Poor or fair,73%,923
"Race, Ethnicity of Owner(s)",2023,Hispanic,Current financial condition,Poor or fair,65%,660
"Race, Ethnicity of Owner(s)",2023,White,Current financial condition,Poor or fair,51%,4094
"Race, Ethnicity of Owner(s)",2016,American Indian or Alaska Native,"Employment change, prior 12 months",Increased,42%,102
"Race, Ethnicity of Owner(s)",2016,Asian,"Employment change, prior 12 months",Increased,34%,413
"Race, Ethnicity of Owner(s)",2016,Black or African American,"Employment change, prior 12 months",Increased,36%,854
"Race, Ethnicity of Owner(s)",2016,Hispanic,"Employment change, prior 12 months",Increased,36%,496
"Race, Ethnicity of Owner(s)",2016,White,"Employment change, prior 12 months",Increased,35%,7841
"Race, Ethnicity of Owner(s)",2017,American Indian or Alaska Native,"Employment change, prior 12 months",Increased,32%,92
"Race, Ethnicity of Owner(s)",2017,Asian,"Employment change, prior 12 months",Increased,43%,285
"Race, Ethnicity of Owner(s)",2017,Black or African American,"Employment change, prior 12 months",Increased,33%,581
"Race, Ethnicity of Owner(s)",2017,Hispanic,"Employment change, prior 12 months",Increased,36%,472
"Race, Ethnicity of Owner(s)",2017,White,"Employment change, prior 12 months",Increased,34%,6254
"Race, Ethnicity of Owner(s)",2018,American Indian or Alaska Native,"Employment change, prior 12 months",Increased,47%,64
"Race, Ethnicity of Owner(s)",2018,Asian,"Employment change, prior 12 months",Increased,35%,237
"Race, Ethnicity of Owner(s)",2018,Black or African American,"Employment change, prior 12 months",Increased,31%,506
"Race, Ethnicity of Owner(s)",2018,Hispanic,"Employment change, prior 12 months",Increased,34%,444
"Race, Ethnicity of Owner(s)",2018,White,"Employment change, prior 12 months",Increased,37%,4925
"Race, Ethnicity of Owner(s)",2019,American Indian or Alaska Native,"Employment change, prior 12 months",Increased,27%,63
"Race, Ethnicity of Owner(s)",2019,Asian,"Employment change, prior 12 months",Increased,32%,180
"Race, Ethnicity of Owner(s)",2019,Black or African American,"Employment change, prior 12 months",Increased,27%,424
"Race, Ethnicity of Owner(s)",2019,Hispanic,"Employment change, prior 12 months",Increased,40%,377
"Race, Ethnicity of Owner(s)",2019,White,"Employment change, prior 12 months",Increased,37%,3766
"Race, Ethnicity of Owner(s)",2020,American Indian or Alaska Native,"Employment change, prior 12 months",Increased,13%,102
"Race, Ethnicity of Owner(s)",2020,Asian,"Employment change, prior 12 months",Increased,8%,645
"Race, Ethnicity of Owner(s)",2020,Black or African American,"Employment change, prior 12 months",Increased,11%,1110
"Race, Ethnicity of Owner(s)",2020,Hispanic,"Employment change, prior 12 months",Increased,9%,805
"Race, Ethnicity of Owner(s)",2020,White,"Employment change, prior 12 months",Increased,13%,6730
"Race, Ethnicity of Owner(s)",2021,American Indian or Alaska Native,"Employment change, prior 12 months",Increased,25%,127
"Race, Ethnicity of Owner(s)",2021,Asian,"Employment change, prior 12 months",Increased,15%,954
"Race, Ethnicity of Owner(s)",2021,Black or African American,"Employment change, prior 12 months",Increased,19%,1652
"Race, Ethnicity of Owner(s)",2021,Hispanic,"Employment change, prior 12 months",Increased,21%,1052
"Race, Ethnicity of Owner(s)",2021,White,"Employment change, prior 12 months",Increased,25%,6786
"Race, Ethnicity of Owner(s)",2022,American Indian or Alaska Native,"Employment change, prior 12 months",Increased,27%,129
"Race, Ethnicity of Owner(s)",2022,Asian,"Employment change, prior 12 months",Increased,20%,541
"Race, Ethnicity of Owner(s)",2022,Black or African American,"Employment change, prior 12 months",Increased,20%,1364
"Race, Ethnicity of Owner(s)",2022,Hispanic,"Employment change, prior 12 months",Increased,28%,839
"Race, Ethnicity of Owner(s)",2022,White,"Employment change, prior 12 months",Increased,31%,4665
"Race, Ethnicity of Owner(s)",2023,American Indian or Alaska Native,"Employment change, prior 12 months",Increased,20%,73
"Race, Ethnicity of Owner(s)",2023,Asian,"Employment change, prior 12 months",Increased,24%,370
"Race, Ethnicity of Owner(s)",2023,Black or African American,"Employment change, prior 12 months",Increased,30%,885
"Race, Ethnicity of Owner(s)",2023,Hispanic,"Employment change, prior 12 months",Increased,34%,628
"Race, Ethnicity of Owner(s)",2023,White,"Employment change, prior 12 months",Increased,29%,4039
"Race, Ethnicity of Owner(s)",2016,American Indian or Alaska Native,"Employment expectations, next 12 months",Will increase,67%,102
"Race, Ethnicity of Owner(s)",2016,Asian,"Employment expectations, next 12 months",Will increase,55%,416
"Race, Ethnicity of Owner(s)",2016,Black or African American,"Employment expectations, next 12 months",Will increase,64%,870
"Race, Ethnicity of Owner(s)",2016,Hispanic,"Employment expectations, next 12 months",Will increase,58%,504
"Race, Ethnicity of Owner(s)",2016,White,"Employment expectations, next 12 months",Will increase,42%,7873
"Race, Ethnicity of Owner(s)",2017,American Indian or Alaska Native,"Employment expectations, next 12 months",Will increase,65%,90
"Race, Ethnicity of Owner(s)",2017,Asian,"Employment expectations, next 12 months",Will increase,57%,288
"Race, Ethnicity of Owner(s)",2017,Black or African American,"Employment expectations, next 12 months",Will increase,66%,585
"Race, Ethnicity of Owner(s)",2017,Hispanic,"Employment expectations, next 12 months",Will increase,59%,476
"Race, Ethnicity of Owner(s)",2017,White,"Employment expectations, next 12 months",Will increase,46%,6297
"Race, Ethnicity of Owner(s)",2018,American Indian or Alaska Native,"Employment expectations, next 12 months",Will increase,42%,65
"Race, Ethnicity of Owner(s)",2018,Asian,"Employment expectations, next 12 months",Will increase,47%,253
"Race, Ethnicity of Owner(s)",2018,Black or African American,"Employment expectations, next 12 months",Will increase,60%,534
"Race, Ethnicity of Owner(s)",2018,Hispanic,"Employment expectations, next 12 months",Will increase,49%,473
"Race, Ethnicity of Owner(s)",2018,White,"Employment expectations, next 12 months",Will increase,43%,5125
"Race, Ethnicity of Owner(s)",2019,American Indian or Alaska Native,"Employment expectations, next 12 months",Will increase,62%,67
"Race, Ethnicity of Owner(s)",2019,Asian,"Employment expectations, next 12 months",Will increase,43%,196
"Race, Ethnicity of Owner(s)",2019,Black or African American,"Employment expectations, next 12 months",Will increase,61%,440
"Race, Ethnicity of Owner(s)",2019,Hispanic,"Employment expectations, next 12 months",Will increase,54%,406
"Race, Ethnicity of Owner(s)",2019,White,"Employment expectations, next 12 months",Will increase,43%,3915
"Race, Ethnicity of Owner(s)",2020,American Indian or Alaska Native,"Employment expectations, next 12 months",Will increase,26%,103
"Race, Ethnicity of Owner(s)",2020,Asian,"Employment expectations, next 12 months",Will increase,22%,642
